timestamp,open,high,low,close,volume
2025-04-02 13:55:00,604.09,604.6,603.0,603.08,1254.867
2025-04-02 14:00:00,603.08,605.13,602.96,604.98,1563.744
2025-04-02 14:05:00,604.98,605.15,603.54,603.69,1320.672
2025-04-02 14:10:00,603.7,604.32,602.2,602.65,1940.614
2025-04-02 14:15:00,602.65,604.16,602.2,603.83,482.351
2025-04-02 14:20:00,603.83,604.71,603.24,604.39,488.897
2025-04-02 14:25:00,604.39,604.48,603.67,604.27,515.479
2025-04-02 14:30:00,604.27,604.7,603.68,603.74,380.88
2025-04-02 14:35:00,603.74,604.3,603.45,604.11,550.4
2025-04-02 14:40:00,604.11,604.8,603.61,604.0,494.44
2025-04-02 14:45:00,604.0,604.27,603.04,603.47,334.884
2025-04-02 14:50:00,603.48,603.84,603.3,603.31,354.426
2025-04-02 14:55:00,603.31,604.44,603.28,604.21,468.349
2025-04-02 15:00:00,604.22,605.89,604.0,605.56,1378.92
2025-04-02 15:05:00,605.56,607.08,605.4,606.22,1873.555
2025-04-02 15:10:00,606.28,607.0,606.12,606.99,1917.126
2025-04-02 15:15:00,606.99,607.81,606.8,606.87,2395.759
2025-04-02 15:20:00,606.86,607.77,605.7,605.99,836.628
2025-04-02 15:25:00,606.0,607.11,605.89,605.89,2615.875
2025-04-02 15:30:00,605.89,609.25,605.8,608.13,8158.045
2025-04-02 15:35:00,608.11,608.8,606.96,608.73,5923.021
2025-04-02 15:40:00,608.73,609.99,608.19,608.89,8378.726
2025-04-02 15:45:00,608.89,609.46,602.27,604.28,14973.442
2025-04-02 15:50:00,604.29,605.1,598.62,600.95,25792.807
2025-04-02 15:55:00,600.95,605.71,600.71,604.62,19755.723
2025-04-02 16:00:00,604.62,607.87,603.52,606.6,7560.965
2025-04-02 16:05:00,606.6,607.4,605.82,606.1,3085.152
2025-04-02 16:10:00,606.1,606.97,605.07,606.5,3115.113
2025-04-02 16:15:00,606.5,607.09,606.31,606.34,1238.698
2025-04-02 16:20:00,606.35,607.08,605.46,605.74,929.227
2025-04-02 16:25:00,605.74,606.32,605.44,606.32,841.526
2025-04-02 16:30:00,606.32,606.61,605.89,606.11,1269.729
2025-04-02 16:35:00,606.12,606.13,604.55,605.5,535.587
2025-04-02 16:40:00,605.5,606.76,605.5,606.32,681.278
2025-04-02 16:45:00,606.31,607.38,605.3,605.89,2941.795
2025-04-02 16:50:00,605.88,607.41,605.88,606.74,1189.893
2025-04-02 16:55:00,606.74,606.87,606.0,606.51,760.881
2025-04-02 17:00:00,606.51,607.8,606.4,607.43,1599.408
2025-04-02 17:05:00,607.43,607.66,605.6,606.81,3637.739
2025-04-02 17:10:00,606.81,607.79,606.14,606.95,2631.826
2025-04-02 17:15:00,606.96,607.56,606.46,607.08,1956.799
2025-04-02 17:20:00,607.07,607.07,605.63,606.29,1313.657
2025-04-02 17:25:00,606.29,606.45,603.66,603.88,2164.356
2025-04-02 17:30:00,603.87,604.24,602.76,603.74,2219.928
2025-04-02 17:35:00,603.74,604.11,603.09,603.31,462.99
2025-04-02 17:40:00,603.31,603.62,602.38,603.37,787.27
2025-04-02 17:45:00,603.36,603.49,602.01,602.1,768.578
2025-04-02 17:50:00,602.11,602.87,601.82,602.19,1253.776
2025-04-02 17:55:00,602.19,604.09,602.19,603.65,768.14
2025-04-02 18:00:00,603.65,604.84,603.57,604.04,694.856
2025-04-02 18:05:00,604.04,604.1,602.27,602.75,853.538
2025-04-02 18:10:00,602.75,603.39,602.23,602.71,951.403
2025-04-02 18:15:00,602.7,603.42,602.6,603.31,288.242
2025-04-02 18:20:00,603.32,604.26,603.24,603.79,247.928
2025-04-02 18:25:00,603.79,604.5,603.41,603.41,470.684
2025-04-02 18:30:00,603.41,604.99,603.3,604.8,601.257
2025-04-02 18:35:00,604.8,605.45,604.68,605.13,461.974
2025-04-02 18:40:00,605.13,605.46,604.83,604.93,453.62
2025-04-02 18:45:00,604.93,605.35,604.57,605.29,435.908
2025-04-02 18:50:00,605.29,605.29,604.39,604.62,255.153
2025-04-02 18:55:00,604.61,604.61,603.6,603.89,206.093
2025-04-02 19:00:00,603.9,605.0,603.9,604.87,457.252
2025-04-02 19:05:00,604.86,605.1,604.61,604.86,605.855
2025-04-02 19:10:00,604.86,604.94,604.51,604.51,258.138
2025-04-02 19:15:00,604.51,604.85,603.6,603.99,311.12
2025-04-02 19:20:00,603.99,604.5,603.31,604.29,438.257
2025-04-02 19:25:00,604.29,604.77,603.65,604.46,180.822
2025-04-02 19:30:00,604.46,604.96,604.2,604.92,281.255
2025-04-02 19:35:00,604.91,605.0,604.7,604.82,198.341
2025-04-02 19:40:00,604.83,605.54,604.73,604.95,789.064
2025-04-02 19:45:00,604.95,605.5,604.95,605.04,269.405
2025-04-02 19:50:00,605.04,605.3,604.6,604.98,420.045
2025-04-02 19:55:00,604.98,606.14,604.92,605.71,603.632
2025-04-02 20:00:00,605.72,605.76,603.72,603.78,772.878
2025-04-02 20:05:00,603.79,604.39,603.23,603.24,1593.232
2025-04-02 20:10:00,603.24,608.8,600.77,608.38,6534.173
2025-04-02 20:15:00,608.38,614.0,606.81,610.63,10940.726
2025-04-02 20:20:00,610.64,610.64,606.39,606.79,1929.352
2025-04-02 20:25:00,606.79,608.3,599.0,602.29,6940.998
2025-04-02 20:30:00,602.29,604.65,600.85,603.79,3240.426
2025-04-02 20:35:00,603.79,604.43,600.09,601.48,1644.312
2025-04-02 20:40:00,601.46,601.75,599.46,600.42,1532.642
2025-04-02 20:45:00,600.43,602.86,599.82,602.8,1729.104
2025-04-02 20:50:00,602.79,603.03,601.4,602.14,939.243
2025-04-02 20:55:00,602.14,603.2,602.11,602.77,577.474
2025-04-02 21:00:00,602.78,603.1,601.18,601.44,761.207
2025-04-02 21:05:00,601.43,601.43,597.84,597.88,1434.509
2025-04-02 21:10:00,597.89,598.52,597.1,597.89,866.866
2025-04-02 21:15:00,597.89,599.44,597.21,597.71,1199.311
2025-04-02 21:20:00,597.71,599.29,597.41,599.01,838.453
2025-04-02 21:25:00,599.0,599.0,597.9,597.9,441.422
